id,categoria,edad,genero,estado_civil,ingreso_reportado,maximo_dias_mora,saldo_total,saldo_productos_activos,saldo_productos_pasivos,cantidad_productos_activos,cantidad_productos_pasivos,saldo_en_competencia,monto_credito,plazo_credito,calificacion_crediticia,garantia_credito,tasa_interes
371416,privada,52.0,masculino,divorciado,,1.0,511823.0,511134.0,689.0,2.0,2.0,148602.92,2630000.0,66.0,3.0,fiduciaria,9.54
371924,premier,60.0,masculino,soltero,83350.0,12.0,821884.0,439747.0,382137.0,2.0,5.0,26006.97,59000.0,188.0,2.0,autoliquidable,7.54
455003,premier,60.0,femenino,casado,85104.0,19.0,1495464.0,1470301.0,25163.0,6.0,1.0,1147943.0,353000.0,68.0,4.0,fiduciaria,11.59
456265,optima,64.0,masculino,casado,,36.0,353793.0,331049.0,22744.0,3.0,0.0,,21000.0,55.0,5.0,fiduciaria,19.48
448511,premier,60.0,femenino,soltero,,13.0,527719.0,396160.0,131559.0,4.0,3.0,,1649000.0,33.0,3.0,fiduciaria,11.7
146914,premier,41.0,femenino,casado,53226.0,134.0,1004030.0,895503.0,108527.0,3.0,5.0,226665.69,213000.0,235.0,4.0,hipotecaria,6.03
614367,premier,38.0,masculino,casado,102234.0,0.0,285354.0,155879.0,129475.0,7.0,3.0,3998075.96,153000.0,55.0,4.0,fiduciaria,17.38
913415,premier,51.0,femenino,divorciado,101235.0,15.0,586737.0,372248.0,214489.0,4.0,3.0,285613.85,11000.0,45.0,5.0,fiduciaria,14.18
849315,optima,32.0,femenino,divorciado,100568.0,15.0,12228.0,8270.0,3958.0,6.0,2.0,665783.11,71000.0,61.0,3.0,fiduciaria,24.54
536709,optima,54.0,masculino,casado,52422.0,12.0,138833.0,28008.0,110825.0,3.0,2.0,197251.25,220000.0,76.0,2.0,fiduciaria,13.54
991315,privada,50.0,masculino,casado,,1.0,18981063.0,2003757.0,16977306.0,3.0,4.0,3410250.63,467000.0,209.0,2.0,hipotecaria,6.67
903547,optima,41.0,masculino,casado,60005.0,8.0,378911.0,378911.0,0.0,1.0,1.0,71929.96,113000.0,68.0,3.0,prendas,8.25
762681,premier,55.0,femenino,soltero,86259.0,7.0,1938015.0,1320532.0,617483.0,2.0,4.0,12421.35,138000.0,73.0,2.0,prendas,7.81
323896,optima,44.0,masculino,casado,105165.0,10.0,726638.0,653611.0,73027.0,3.0,1.0,,164000.0,56.0,4.0,fiduciaria,14.65
718655,premier,38.0,masculino,casado,90817.0,3.0,216479.0,184298.0,32181.0,3.0,3.0,1720791.09,190000.0,79.0,3.0,fiduciaria,10.86
328153,optima,29.0,femenino,casado,88467.0,29.0,583403.0,582976.0,427.0,1.0,2.0,86917.91,869000.0,50.0,5.0,fiduciaria,11.75
406104,optima,35.0,femenino,casado,111457.0,13.0,1091.0,1049.0,42.0,3.0,1.0,,49000.0,67.0,3.0,fiduciaria,17.8
230233,optima,36.0,masculino,casado,181714.0,7.0,123250.0,111684.0,11566.0,2.0,2.0,108555.37,135000.0,48.0,3.0,fiduciaria,15.9
654281,privada,60.0,masculino,casado,112261.0,20.0,3598407.0,252640.0,3345767.0,1.0,4.0,625198.16,40000.0,45.0,2.0,autoliquidable,6.79
251540,optima,57.0,femenino,casado,43929.0,19.0,126724.0,126720.0,4.0,3.0,0.11346214111280117,22748.49,54000.0,71.0,2.0,prendas,8.92
497890,optima,65.0,femenino,divorciado,87095.0,3.0,671123.0,670456.0,667.0,2.0,1.0,448435.7,249000.0,61.0,5.0,fiduciaria,16.73
979762,premier,38.0,femenino,casado,96697.0,13.0,354349.0,252264.0,102085.0,5.0,2.0,783920.68,536000.0,68.0,3.0,fiduciaria,10.83
430267,optima,30.0,femenino,casado,217680.0,45.0,250324.0,208203.0,42121.0,1.0,0.0,46950.81,124000.0,60.0,7.0,fiduciaria_prendas,8.63
475976,optima,60.0,masculino,casado,168150.0,10.0,243762.0,224500.0,19262.0,3.0,2.0,,162000.0,74.0,4.0,fiduciaria,10.77
293846,optima,69.0,femenino,viudo,100017.0,2.0,33151.0,10403.0,22748.0,3.0,1.0,1498618.46,58000.0,65.0,4.0,fiduciaria,18.65
